
> warqandqlam@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.8.49:3000
✓ Ready in 665ms

 GET /products/products-page-pen-1 200 in 836ms
 GET /products/products-page-pen-1 200 in 138ms (next.js: 22ms, generate-params: 12ms, application-code: 116ms)
 GET /products/products-page-pen-1 200 in 84ms (next.js: 12ms, generate-params: 6ms, application-code: 73ms)
 GET /products/products-page-pen-1 200 in 69ms (next.js: 11ms, generate-params: 6ms, application-code: 58ms)
 GET /products/products-page-pen-1 200 in 72ms (next.js: 11ms, generate-params: 6ms, application-code: 61ms)
 GET /products/products-page-pen-1 200 in 85ms (next.js: 14ms, generate-params: 7ms, application-code: 71ms)
 GET /products/products-page-pen-1 200 in 90ms (next.js: 15ms, generate-params: 9ms, application-code: 75ms)
 GET /products/products-page-pen-1 200 in 72ms (next.js: 12ms, generate-params: 6ms, application-code: 60ms)
 GET /products/products-page-pen-1 200 in 81ms (next.js: 14ms, generate-params: 8ms, application-code: 67ms)
 GET /products/products-page-pen-1 200 in 85ms (next.js: 14ms, generate-params: 6ms, application-code: 70ms)
✓ Compiled in 476ms
 GET /products/products-page-pen-1 200 in 192ms (next.js: 133ms, generate-params: 8ms, application-code: 59ms)
 GET /products/products-page-pen-1 200 in 385ms (next.js: 11ms, generate-params: 6ms, application-code: 374ms)
 GET /products/products-page-pen-1 200 in 96ms (next.js: 21ms, generate-params: 11ms, application-code: 75ms)
✓ Compiled in 45ms
 GET /products/products-page-pen-1 200 in 123ms (next.js: 81ms, generate-params: 5ms, application-code: 42ms)
 GET /products/products-page-pen-1 200 in 326ms (next.js: 17ms, generate-params: 10ms, application-code: 309ms)
✓ Compiled in 54ms
 GET /products/products-page-pen-1 200 in 196ms (next.js: 123ms, generate-params: 11ms, application-code: 73ms)
 GET /products/products-page-pen-1 200 in 530ms (next.js: 13ms, generate-params: 7ms, application-code: 517ms)
✓ Compiled in 92ms
 GET /products/products-page-pen-1 200 in 172ms (next.js: 111ms, generate-params: 8ms, application-code: 61ms)
✓ Compiled in 54ms
 GET /products/products-page-pen-1 200 in 122ms (next.js: 86ms, generate-params: 6ms, application-code: 36ms)
 GET /products/products-page-pen-1 200 in 323ms (next.js: 10ms, generate-params: 5ms, application-code: 313ms)
 GET /products/products-page-pen-1 200 in 73ms (next.js: 10ms, generate-params: 5ms, application-code: 62ms)
✓ Compiled in 211ms
✓ Compiled in 161ms
✓ Compiled in 102ms
 GET / 200 in 516ms (next.js: 346ms, application-code: 170ms)
 GET / 200 in 79ms (next.js: 5ms, application-code: 75ms)
